SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
182D010224,Government of India,TB,100,100,100,,04-AUG-2023,,01-FEB-2024,,,,,IN002023Y185
182D021123,Government of India,TB,100,100,100,,05-MAY-2023,,02-NOV-2023,,,,,IN002023Y052
182D040124,Government of India,TB,100,100,100,,07-JUL-2023,,04-JAN-2024,,,,,IN002023Y144
182D040424,Government of India,TB,100,100,100,,06-OCT-2023,,04-APR-2024,,,,,IN002023Y284
182D070324,Government of India,TB,100,100,100,,11-SEP-2023,,07-MAR-2024,,,,,IN002023Y243
182D071223,Government of India,TB,100,100,100,,09-JUN-2023,,07-DEC-2023,,,,,IN002023Y102
182D080224,Government of India,TB,100,100,100,,11-AUG-2023,,08-FEB-2024,,,,,IN002023Y193
182D091123,Government of India,TB,100,100,100,,12-MAY-2023,,09-NOV-2023,,,,,IN002023Y060
182D110124,Government of India,TB,100,100,100,,14-JUL-2023,,11-JAN-2024,,,,,IN002023Y151
182D110424,Government of India,TB,100,100,100,,13-OCT-2023,,11-APR-2024,,,,,IN002023Y292
182D140324,Government of India,TB,100,100,100,,15-SEP-2023,,14-MAR-2024,,,,,IN002023Y250
182D141223,Government of India,TB,100,100,100,,19-JUN-2023,,14-DEC-2023,,,,,IN002023Y110
182D160224,Government of India,TB,100,100,100,,21-AUG-2023,,16-FEB-2024,,,,,IN002023Y219
182D161123,Government of India,TB,100,100,100,,19-MAY-2023,,16-NOV-2023,,,,,IN002023Y078
182D180124,Government of India,TB,100,100,100,,21-JUL-2023,,18-JAN-2024,,,,,IN002023Y169
182D180424,Government of India,TB,100,100,100,,20-OCT-2023,,18-APR-2024,,,,,IN002023Y300
182D210324,Government of India,TB,100,100,100,,22-SEP-2023,,21-MAR-2024,,,,,IN002023Y268
182D211223,Government of India,TB,100,100,100,,23-JUN-2023,,21-DEC-2023,,,,,IN002023Y128
182D220224,Government of India,TB,100,100,100,,25-AUG-2023,,22-FEB-2024,,,,,IN002023Y227
182D231123,Government of India,TB,100,100,100,,26-MAY-2023,,23-NOV-2023,,,,,IN002023Y086
182D250124,Government of India,TB,100,100,100,,28-JUL-2023,,25-JAN-2024,,,,,IN002023Y177
182D250424,Government of India,TB,100,100,100,,27-OCT-2023,,25-APR-2024,,,,,IN002023Y318
182D290224,Government of India,TB,100,100,100,,01-SEP-2023,,29-FEB-2024,,,,,IN002023Y235
182D290324,Government of India,TB,100,100,100,,29-SEP-2023,,29-MAR-2024,,,,,IN002023Y276
182D291223,Government of India,TB,100,100,100,,03-JUL-2023,,29-DEC-2023,,,,,IN002023Y136
182D301123,Government of India,TB,100,100,100,,02-JUN-2023,,30-NOV-2023,,,,,IN002023Y094
364D010224,Government of India,TB,100,100,100,,03-FEB-2023,,01-FEB-2024,,,,,IN002022Z440
364D010824,Government of India,TB,100,100,100,,04-AUG-2023,,01-AUG-2024,,,,,IN002023Z190
364D020524,Government of India,TB,100,100,100,,05-MAY-2023,,02-MAY-2024,,,,,IN002023Z067
364D021123,Government of India,TB,100,100,100,,04-NOV-2022,,02-NOV-2023,,,,,IN002022Z317
364D031024,Government of India,TB,100,100,100,,06-OCT-2023,,03-OCT-2024,,,,,IN002023Z299
364D040124,Government of India,TB,100,100,100,,06-JAN-2023,,04-JAN-2024,,,,,IN002022Z408
364D040424,Government of India,TB,100,100,100,,11-APR-2023,,04-APR-2024,,,,,IN002023Z026
364D040724,Government of India,TB,100,100,100,,07-JUL-2023,,04-JUL-2024,,,,,IN002023Z158
