Sr.No.,Company Name,ISIN,Instrument Type
1, Ashiana Housing Limited,INE365D01021,Equity
2,20 Microns Limited,INE144J01027,Equity
3,21st Century Management Services Limited,INE253B01015,Equity
4,360 ONE WAM LIMITED,INE466L01038,Equity
5,3M India Limited,INE470A01017,Equity
6,3P Land Holdings Limited,INE105C01023,Equity
7,3i Infotech Limited,INE748C01038,Equity
8,3rd Rock Multimedia Limited,INE768P01012,Equity
9,5Paisa Capital Limited,INE618L01018,Equity
10,63 moons technologies limited,INE111B01023,Equity
11,A B Cotspin India Limited,INE08PH01015,Equity
12,A B Infrabuild Limited,INE00YB01017,Equity
13,A B N Intercorp Limited,INE982R01015,Equity
14,A G Universal Limited,INE0O6N01012,Equity
15,A and M Jumbo Bags Limited,INE749Y01014,Equity
16,A2Z Infra Engineering Limited,INE619I01012,Equity
17,ABB India Limited,INE117A01022,Equity
18,ABC LIMITED FOR TEST,INE162301019,Equity
19,ABM International Limited,INE251C01017,Equity
20,ABM International Limited,INE251C01025,Equity
21,ACC Limited,INE012A01025,Equity
22,ADF Foods Limited,INE982B01027,Equity
23,AGI Greenpac Limited,INE415A01038,Equity
24,AGS Transact Technologies Limited,INE583L01014,Equity
25,AIA Engineering Limited,INE212H01026,Equity
26,AJR INFRA AND TOLLING LIMITED,INE181G01025,Equity
27,AMD Industries Limited,INE005I01014,Equity
28,ANDHRA PAPER LIMITED,INE435A01028,Equity
29,ANI Integrated Services Limited,INE635Y01015,Equity
30,APL Apollo Tubes Limited,INE702C01027,Equity
31,ARSS Infrastructure Projects Limited,INE267I01010,Equity
32,ASL Industries Limited,INE617I01024,Equity
33,AU Small Finance Bank Limited,INE949L01017,Equity
34,AVG Logistics Limited,INE680Z01018,Equity
35,AVRO INDIA LIMITED,INE652Z01017,Equity
36,AVSL Industries Limited,INE522V01011,Equity
37,AVT Natural Products Limited,INE488D01021,Equity
38,AXIS MUTUAL FUND - AXIS NIFTY IT ETF,INF846K01Y96,Equity
39,AXIS MUTUAL FUND - Axis NIFTY 50 ETF,INF846K01W98,Equity
40,AXIS MUTUAL FUND - Axis NIFTY Bank ETF,INF846K01X63,Equity
41,AXIS MUTUAL FUND - Axis NIFTY Healthcare ETF,INF846K01Z12,Equity
42,AXIS MUTUAL FUND - Axis NIFTY India Consumption ETF,INF846K016C7,Equity
43,AXIS MUTUAL FUND - Axis Nifty AAA Bond Plus SDL Apr 2026 50-50 ETF,INF846K01Z04,Equity
44,AXISCADES Technologies Limited,INE555B01013,Equity
45,AYM Syntex Limited,INE193B01039,Equity
46,Aaa Technologies Limited,INE0D0U01013,Equity
47,Aakash Exploration Services Limited,INE087Z01024,Equity
48,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,Equity
49,Aaron Industries Limited,INE721Z01010,Equity
50,Aartech Solonics Limited,INE01C001018,Equity
51,Aarti Drugs Limited,INE767A01016,Equity
52,Aarti Industries Limited,INE769A01020,Equity
53,Aarti Pharmalabs Limited,INE0LRU01027,Equity
54,Aarti Surfactants Limited,IN909EO01012,Equity
55,Aarti Surfactants Limited,INE09EO01013,Equity
56,Aarti Surfactants Limited,INE09EO04017,Equity
57,Aarvee Denims & Exports Limited,INE273D01019,Equity
58,Aarvi Encon Limited,INE754X01016,Equity
59,Aatmaj Healthcare Limited,INE0OB201016,Equity
60,Aavas Financiers Limited,INE216P01012,Equity
61,Aban Offshore Limited,INE421A01028,Equity
62,Abans Holdings Limited,INE00ZE01026,Equity
63,Abhishek Integrations Limited,INE0CAJ01017,Equity
64,Accelya Solutions India Limited,INE793A01012,Equity
65,Accord Synergy Limited,INE113X01015,Equity
66,Accuracy Shipping Limited,INE648Z01023,Equity
67,Ace Integrated Solutions Limited,INE543V01017,Equity
